"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
22,"1","2025-01-23T13:32:45.071973Z",41,"",36.735,"कथित Delhi Liquor Scam पर ED और Modi Govt झूठी साबित हुई I Arvind Kejriwal ने कही बड़ी बात","2025-01-23T13:32:45.071973Z"
23,"1","2025-01-23T13:39:04.551077Z",680,"[{""start"":0,""end"":17,""text"":""Imran Pratapgarhi"",""labels"":[""PROPN""]},{""start"":28,""end"":35,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":50,""end"":55,""text"":""सुनकर"",""labels"":[""VERB""]},{""start"":79,""end"":95,""text"":""इमरान प्रतापगढ़ी"",""labels"":[""PROPN""]},{""start"":18,""end"":20,""text"":""ने"",""labels"":[""ADP""]},{""start"":59,""end"":61,""text"":""भी"",""labels"":[""PART""]},{""start"":21,""end"":27,""text"":""गिनाईं"",""labels"":[""VERB""]},{""start"":36,""end"":38,""text"":""की"",""labels"":[""ADP""]},{""start"":39,""end"":48,""text"":""छुट्टियां"",""labels"":[""NOUN""]},{""start"":56,""end"":58,""text"":""आप"",""labels"":[""PRON""]},{""start"":68,""end"":77,""text"":""रह जाएंगे"",""labels"":[""X""]},{""start"":77,""end"":79,""text"":""। "",""labels"":[""X""]},{""start"":62,""end"":67,""text"":""हैरान"",""labels"":[""ADV""]}]",2549.9249999999997,"Imran Pratapgarhi ने गिनाईं PM Modi की छुट्टियां, सुनकर आप भी हैरान रह जाएंगे। इमरान प्रतापगढ़ी","2025-01-23T14:32:30.894441Z"
24,"1","2025-01-23T14:38:47.597479Z",681,"[{""start"":0,""end"":7,""text"":""किसानों"",""labels"":[""NOUN""]},{""start"":11,""end"":22,""text"":""बल्ले-बल्ले"",""labels"":[""NOUN""]},{""start"":8,""end"":10,""text"":""की"",""labels"":[""ADP""]},{""start"":22,""end"":23,""text"":""।"",""labels"":[""X""]},{""start"":24,""end"":27,""text"":""MSP"",""labels"":[""PROPN""]},{""start"":28,""end"":30,""text"":""पर"",""labels"":[""ADP""]},{""start"":31,""end"":35,""text"":""सबसे"",""labels"":[""ADV""]},{""start"":36,""end"":42,""text"":""ज्यादा"",""labels"":[""ADJ""]},{""start"":43,""end"":48,""text"":""खरीदी"",""labels"":[""NOUN""]},{""start"":49,""end"":55,""text"":""कर रही"",""labels"":[""VERB""]},{""start"":56,""end"":70,""text"":""कांग्रेस सरकार"",""labels"":[""PROPN""]},{""start"":70,""end"":71,""text"":""।"",""labels"":[""X""]},{""start"":72,""end"":80,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":81,""end"":82,""text"":""|"",""labels"":[""X""]},{""start"":83,""end"":95,""text"":""Chhattisgarh"",""labels"":[""PROPN""]}]",341.478,"किसानों की बल्ले-बल्ले। MSP पर सबसे ज्यादा खरीदी कर रही कांग्रेस सरकार। Congress | Chhattisgarh","2025-01-23T14:38:47.597479Z"
25,"1","2025-01-23T14:41:35.877876Z",682,"[{""start"":0,""end"":7,""text"":""किसानों"",""labels"":[""NOUN""]},{""start"":8,""end"":10,""text"":""की"",""labels"":[""ADP""]},{""start"":11,""end"":16,""text"":""हो गई"",""labels"":[""VERB""]},{""start"":17,""end"":28,""text"":""बल्ले-बल्ले"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":"", "",""labels"":[""X""]},{""start"":30,""end"":34,""text"":""गोबर"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""भी"",""labels"":[""PART""]},{""start"":38,""end"":43,""text"":""ख़रीद"",""labels"":[""VERB""]},{""start"":44,""end"":47,""text"":""रही"",""labels"":[""VERB""]},{""start"":48,""end"":62,""text"":""Congress सरकार"",""labels"":[""PROPN""]},{""start"":62,""end"":63,""text"":""।"",""labels"":[""X""]},{""start"":64,""end"":76,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":79,""end"":96,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":77,""end"":78,""text"":""|"",""labels"":[""X""]}]",165.003,"किसानों की हो गई बल्ले-बल्ले, गोबर भी ख़रीद रही Congress सरकार। Chhattisgarh | CM Bhupesh Baghel","2025-01-23T14:41:35.877876Z"
26,"1","2025-01-23T14:44:45.860741Z",683,"[{""start"":0,""end"":3,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":4,""end"":6,""text"":""पर"",""labels"":[""ADP""]},{""start"":7,""end"":12,""text"":""भड़के"",""labels"":[""VERB""]},{""start"":13,""end"":31,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":83,""end"":95,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":55,""end"":69,""text"":""Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":36,""end"":43,""text"":""Gujarat"",""labels"":[""PROPN""]},{""start"":44,""end"":49,""text"":""Model"",""labels"":[""NOUN""]},{""start"":70,""end"":75,""text"":""Model"",""labels"":[""NOUN""]},{""start"":50,""end"":54,""text"":""नहीं"",""labels"":[""NUM""]},{""start"":33,""end"":35,""text"":""ये"",""labels"":[""ADP""]},{""start"":81,""end"":82,""text"":""।"",""labels"":[""X""]},{""start"":78,""end"":81,""text"":""..."",""labels"":[""X""]},{""start"":76,""end"":78,""text"":""है"",""labels"":[""VERB""]},{""start"":31,""end"":32,""text"":"","",""labels"":[""X""]}]",187.862,"BJP पर भड़के Mallikarjun Kharge, ये Gujarat Model नहीं Bhupesh Baghel Model है...। Chhattisgarh","2025-01-23T14:44:45.860741Z"
27,"1","2025-01-23T14:49:16.222877Z",684,"[{""start"":0,""end"":7,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":8,""end"":10,""text"":""ने"",""labels"":[""ADP""]},{""start"":11,""end"":19,""text"":""करा दिया"",""labels"":[""VERB""]},{""start"":20,""end"":24,""text"":""आपका"",""labels"":[""PRON""]},{""start"":25,""end"":34,""text"":""इतना बड़ा"",""labels"":[""ADJ""]},{""start"":45,""end"":62,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":76,""end"":88,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":89,""end"":97,""text"":""Election"",""labels"":[""NOUN""]},{""start"":63,""end"":65,""text"":""ने"",""labels"":[""ADP""]},{""start"":35,""end"":41,""text"":""नुकसान"",""labels"":[""NOUN""]},{""start"":41,""end"":44,""text"":""..."",""labels"":[""X""]},{""start"":66,""end"":70,""text"":""खोली"",""labels"":[""VERB""]},{""start"":71,""end"":74,""text"":""पोल"",""labels"":[""NOUN""]},{""start"":74,""end"":75,""text"":""।"",""labels"":[""X""]}]",268.305,"PM Modi ने करा दिया आपका इतना बड़ा नुकसान... CM Bhupesh Baghel ने खोली पोल। Chhattisgarh Election","2025-01-23T14:49:16.222877Z"
28,"1","2025-01-23T14:54:16.672801Z",685,"[{""start"":0,""end"":4,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":29,""end"":49,""text"":""Subhash Chandra Bose"",""labels"":[""PROPN""]},{""start"":61,""end"":64,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":82,""end"":100,""text"":""Chandra Kumar Bose"",""labels"":[""PROPN""]},{""start"":53,""end"":57,""text"":""पोते"",""labels"":[""NOUN""]},{""start"":58,""end"":60,""text"":""ने"",""labels"":[""ADP""]},{""start"":68,""end"":72,""text"":""दिया"",""labels"":[""VERB""]},{""start"":73,""end"":80,""text"":""इस्तीफा"",""labels"":[""NOUN""]},{""start"":80,""end"":81,""text"":""।"",""labels"":[""X""]},{""start"":50,""end"":52,""text"":""के"",""labels"":[""ADP""]},{""start"":19,""end"":28,""text"":""लगाते हुए"",""labels"":[""VERB""]},{""start"":5,""end"":7,""text"":""पर"",""labels"":[""ADP""]},{""start"":8,""end"":13,""text"":""गंभीर"",""labels"":[""ADJ""]},{""start"":14,""end"":18,""text"":""आरोप"",""labels"":[""NOUN""]},{""start"":65,""end"":67,""text"":""से"",""labels"":[""ADP""]}]",296.778,"Modi पर गंभीर आरोप लगाते हुए Subhash Chandra Bose के पोते ने BJP से दिया इस्तीफा। Chandra Kumar Bose","2025-01-23T14:54:16.672801Z"
29,"1","2025-01-23T14:57:44.555985Z",686,"[{""start"":0,""end"":18,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""ADP""]},{""start"":22,""end"":27,""text"":""गिनाए"",""labels"":[""VERB""]},{""start"":28,""end"":36,""text"":""Congress"",""labels"":[""PROPN""]},{""start"":37,""end"":39,""text"":""के"",""labels"":[""ADP""]},{""start"":40,""end"":43,""text"":""काम"",""labels"":[""NOUN""]},{""start"":43,""end"":44,""text"":"","",""labels"":[""X""]},{""start"":45,""end"":46,""text"":""5"",""labels"":[""NUM""]},{""start"":47,""end"":50,""text"":""साल"",""labels"":[""NOUN""]},{""start"":51,""end"":54,""text"":""में"",""labels"":[""ADP""]},{""start"":55,""end"":61,""text"":""40 लाख"",""labels"":[""NUM""]},{""start"":62,""end"":65,""text"":""लोग"",""labels"":[""NOUN""]},{""start"":72,""end"":74,""text"":""से"",""labels"":[""ADP""]},{""start"":66,""end"":71,""text"":""गरीबी"",""labels"":[""ADJ""]},{""start"":80,""end"":86,""text"":""निकाले"",""labels"":[""VERB""]},{""start"":86,""end"":87,""text"":""।"",""labels"":[""X""]},{""start"":88,""end"":100,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":75,""end"":79,""text"":""बाहर"",""labels"":[""ADV""]}]",204.415,"Mallikarjun Kharge ने गिनाए Congress के काम, 5 साल में 40 लाख लोग गरीबी से बाहर निकाले। Chhattisgarh","2025-01-23T14:57:44.555985Z"
30,"1","2025-01-23T15:00:58.119942Z",687,"[{""start"":5,""end"":8,""text"":""कहो"",""labels"":[""VERB""]},{""start"":12,""end"":16,""text"":""Gold"",""labels"":[""NOUN""]},{""start"":0,""end"":4,""text"":""सोना"",""labels"":[""NOUN""]},{""start"":9,""end"":11,""text"":""या"",""labels"":[""CONJ""]},{""start"":18,""end"":22,""text"":""कीमत"",""labels"":[""NOUN""]},{""start"":23,""end"":26,""text"":""बदल"",""labels"":[""VERB""]},{""start"":27,""end"":31,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":42,""end"":53,""text"":""Pawan Khera"",""labels"":[""PROPN""]},{""start"":56,""end"":73,""text"":""Bharat Jodo Yatra"",""labels"":[""PROPN""]},{""start"":32,""end"":36,""text"":""जाती"",""labels"":[""ADV""]},{""start"":36,""end"":39,""text"":""..."",""labels"":[""X""]},{""start"":40,""end"":41,""text"":""|"",""labels"":[""X""]},{""start"":74,""end"":75,""text"":""|"",""labels"":[""X""]},{""start"":76,""end"":81,""text"":""INDIA"",""labels"":[""PROPN""]},{""start"":85,""end"":95,""text"":""NDA Bharat"",""labels"":[""PROPN""]},{""start"":82,""end"":84,""text"":""Vs"",""labels"":[""ADP""]},{""start"":54,""end"":55,""text"":""|"",""labels"":[""X""]},{""start"":16,""end"":17,""text"":"","",""labels"":[""X""]}]",188.597,"सोना कहो या Gold, कीमत बदल नहीं जाती... | Pawan Khera | Bharat Jodo Yatra | INDIA Vs NDA Bharat","2025-01-23T15:00:58.119942Z"
31,"1","2025-01-23T15:05:30.348764Z",688,"[{""start"":0,""end"":18,""text"":""Mallikarjun Kharge"",""labels"":[""PROPN""]},{""start"":58,""end"":70,""text"":""Chhattisgarh"",""labels"":[""PROPN""]},{""start"":73,""end"":90,""text"":""CM Bhupesh Baghel"",""labels"":[""PROPN""]},{""start"":28,""end"":35,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":36,""end"":45,""text"":""Amit Shah"",""labels"":[""PROPN""]},{""start"":35,""end"":36,""text"":""-"",""labels"":[""X""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""ADP""]},{""start"":22,""end"":24,""text"":""कर"",""labels"":[""VERB""]},{""start"":25,""end"":27,""text"":""दी"",""labels"":[""VERB""]},{""start"":46,""end"":48,""text"":""की"",""labels"":[""ADP""]},{""start"":49,""end"":54,""text"":""धुलाई"",""labels"":[""NOUN""]},{""start"":54,""end"":57,""text"":""..."",""labels"":[""X""]},{""start"":71,""end"":72,""text"":""|"",""labels"":[""X""]}]",267.829,"Mallikarjun Kharge ने कर दी PM Modi-Amit Shah की धुलाई... Chhattisgarh | CM Bhupesh Baghel","2025-01-23T15:05:30.348764Z"
32,"1","2025-01-23T15:09:30.919262Z",689,"[{""start"":15,""end"":32,""text"":""Bharat Jodo Yatra"",""labels"":[""PROPN""]},{""start"":11,""end"":14,""text"":""में"",""labels"":[""ADP""]},{""start"":3,""end"":10,""text"":""विदेशों"",""labels"":[""NOUN""]},{""start"":53,""end"":64,""text"":""Pawan Khera"",""labels"":[""PROPN""]},{""start"":67,""end"":79,""text"":""Rahul Gandhi"",""labels"":[""PROPN""]},{""start"":82,""end"":89,""text"":""PM Modi"",""labels"":[""PROPN""]},{""start"":80,""end"":81,""text"":""|"",""labels"":[""X""]},{""start"":65,""end"":66,""text"":""|"",""labels"":[""X""]},{""start"":51,""end"":52,""text"":""|"",""labels"":[""X""]},{""start"":40,""end"":42,""text"":""हो"",""labels"":[""VERB""]},{""start"":43,""end"":46,""text"":""रही"",""labels"":[""VERB""]},{""start"":0,""end"":2,""text"":""आज"",""labels"":[""ADV""]},{""start"":33,""end"":35,""text"":""पर"",""labels"":[""ADP""]},{""start"":36,""end"":39,""text"":""PhD"",""labels"":[""NOUN""]},{""start"":47,""end"":49,""text"":""है"",""labels"":[""VERB""]},{""start"":49,""end"":50,""text"":""'"",""labels"":[""X""]}]",237.858,"आज विदेशों में Bharat Jodo Yatra पर PhD हो रही है' | Pawan Khera | Rahul Gandhi | PM Modi","2025-01-23T15:09:30.919262Z"
